name,badge,desc,view,rating,like,series_follow,url
百妖谱,出品,全12话,200131426,9.4分,4799255,6968114,https://www.bilibili.com/bangumi/play/ss26193
我家大师兄是个反派,出品,全13话,130771775,9.0分,3234937,4201337,https://www.bilibili.com/bangumi/play/ss26196
京剧猫 第四季,,全26话,74280822,9.9分,836587,1150026,https://www.bilibili.com/bangumi/play/ss34617
伍六七之最强发型师,会员专享,全10话,347070036,9.8分,6817310,12915368,https://www.bilibili.com/bangumi/play/ss28510
大理寺日志,独家,全12话,201795619,9.8分,4510446,4510446,https://www.bilibili.com/bangumi/play/ss32321
伍六七之玄武国篇,会员专享,全10话,468236534,9.8分,10306626,12915368,https://www.bilibili.com/bangumi/play/ss36594
凹凸世界 第二季,独家,全20话,96814622,9.0分,1134885,3776547,https://www.bilibili.com/bangumi/play/ss6352
凹凸世界 第四季,独家,全20话,184326861,8.6分,3467760,3776547,https://www.bilibili.com/bangumi/play/ss41393
炼气练了3000年,出品,全16话,71793126,7.4分,771461,771460,https://www.bilibili.com/bangumi/play/ss39716
龙蛇演义,出品,全16话,85115169,7.2分,960258,960257,https://www.bilibili.com/bangumi/play/ss39701
星源之主,出品,全48话,46260972,7.9分,393171,393171,https://www.bilibili.com/bangumi/play/ss39718
那年那兔那些事儿 第四季,,全12话,79706793,9.4分,1188181,4731018,https://www.bilibili.com/bangumi/play/ss6018
大耳朵图图 第一季,,全26话,34213723,9.8分,477357,720668,https://www.bilibili.com/bangumi/play/ss34806
茶啊二中 第四季,,全13话,61947829,9.8分,486997,836442,https://www.bilibili.com/bangumi/play/ss23802
天宝伏妖录,出品,全13话,144887883,9.6分,2709110,3560215,https://www.bilibili.com/bangumi/play/ss26232
百妖谱 第二季,出品,全12话,117836756,9.2分,5253344,6968114,https://www.bilibili.com/bangumi/play/ss35195
喜羊羊与灰太狼之奇趣外星客,,全60话,41245448,9.7分,429076,1653823,https://www.bilibili.com/bangumi/play/ss32543
怪兽小馆,出品,更新至第十一餐,4708521,9.5分,187755,187756,https://www.bilibili.com/bangumi/play/ss43359
汉化日记 第二季,出品,全12话,73543101,9.8分,2040109,3019340,https://www.bilibili.com/bangumi/play/ss34062
两不疑 第二季,出品,全24话,160320245,9.8分,4938087,5123124,https://www.bilibili.com/bangumi/play/ss39722
黑门,出品,全12话,44111932,9.7分,1201948,1201948,https://www.bilibili.com/bangumi/play/ss35215
如果历史是一群喵 1-3季,,全38话,181038563,9.7分,2418498,3311437,https://www.bilibili.com/bangumi/play/ss25469
咸鱼哥,出品,全18话,75097706,9.5分,1362355,1494669,https://www.bilibili.com/bangumi/play/ss35226
两不疑,出品,全24话,293505894,9.6分,4597117,5123124,https://www.bilibili.com/bangumi/play/ss28757
小绿和小蓝,会员专享,全72话,100510670,9.7分,1524855,1631165,https://www.bilibili.com/bangumi/play/ss24438
那年那兔那些事儿 番外篇,,全5话,40351904,9.6分,743224,4731018,https://www.bilibili.com/bangumi/play/ss5451
京剧猫 第二季,,全52话,47943549,9.8分,340454,1150026,https://www.bilibili.com/bangumi/play/ss6400
伍六七,会员专享,全13话,371171798,9.8分,6082688,12915368,https://www.bilibili.com/bangumi/play/ss6360
阿衰 第四季,会员专享,全34话,78978188,9.0分,755085,1198298,https://www.bilibili.com/bangumi/play/ss38029
那年那兔那些事儿 第五季,,全11话,97006885,9.6分,2796482,4731018,https://www.bilibili.com/bangumi/play/ss28541
如果历史是一群喵 宋辽金夏篇,会员抢先,更新至第3话,1225821,,3188924,3311437,https://www.bilibili.com/bangumi/play/ss45286
我家大师兄有点靠谱,出品,全13话,50138040,8.0分,3760086,4201337,https://www.bilibili.com/bangumi/play/ss39694
阿衰 第三季,会员专享,全34话,92861083,8.5分,713896,1198298,https://www.bilibili.com/bangumi/play/ss33962
阿衰 第七季,会员专享,全34话,34078031,7.2分,923626,1198298,https://www.bilibili.com/bangumi/play/ss40773
战千年,出品,全16话,39893112,8.5分,622426,622426,https://www.bilibili.com/bangumi/play/ss39712
希灵纪元,出品,全16话,20095425,6.0分,405487,405487,https://www.bilibili.com/bangumi/play/ss39663
峡谷重案组,,全26话,45951689,8.4分,326582,530067,https://www.bilibili.com/bangumi/play/ss23695
大耳朵图图 第三季,,全26话,23776247,9.8分,173404,720668,https://www.bilibili.com/bangumi/play/ss34809
阿衰 第六季,会员专享,全34话,44045296,9.2分,851286,1198298,https://www.bilibili.com/bangumi/play/ss39460
D5小队,,全13话,62542346,9.5分,293846,510178,https://www.bilibili.com/bangumi/play/ss35403
前方高能之辣稽,,全16话,30918689,8.1分,161622,412642,https://www.bilibili.com/bangumi/play/ss6270
凹凸世界 第一季,独家,全32话,172597196,8.8分,1490410,3776547,https://www.bilibili.com/bangumi/play/ss3043
十万个冷笑话 第二季,,全13话,48360555,9.4分,650065,2091929,https://www.bilibili.com/bangumi/play/ss661
大耳朵图图 第二季,,全26话,31831574,9.8分,159286,720668,https://www.bilibili.com/bangumi/play/ss34808
