title,time,up_name,up_uid,up_progress,url
就当泡面番是给动画和大电影摸水了,2022-03-25 21:15:56,薄雾柠茶,7781161,看到第3话,https://www.bilibili.com/read/cv15830762
算是达到了泡面番的基本要求,2022-03-25 14:13:03,只有摸鱼才是真的,17880340,看到第1话,https://www.bilibili.com/read/cv15823853
那些令人动容的细节和伏笔回收,2023-08-20 20:08:44,maonp,481461995,看到Ⅱ-4,https://www.bilibili.com/read/cv25876462
好看,2023-08-18 20:45:59,流过の音符,8212019,看到第1话,https://www.bilibili.com/read/cv25843446
好看,2023-08-11 21:53:39,绿色的麻哒旯,499165744,看到第1话,https://www.bilibili.com/read/cv25687257
只能说是一坨达便,2023-08-08 01:09:21,东方刻夕,388846216,看到Ⅱ-2,https://www.bilibili.com/read/cv25587530
从第一季一集没落跟到第二季,2023-08-10 22:44:57,今天又下雪了呢t,1977177973,看到第1话,https://www.bilibili.com/read/cv25662930
可萌可帅可憨可逗可美可浪！,2023-08-10 21:21:24,傲娇初音,142841123,看到第1话,https://www.bilibili.com/read/cv25661408
从第一季追到了第二季！希望越来越好,2023-08-03 21:52:47,哇哈哈z_,412937361,无观看记录,https://www.bilibili.com/read/cv25499984
有笑点有泪点。加油吧,2023-07-31 12:02:45,寻贤游记,22025263,无观看记录,https://www.bilibili.com/read/cv25408525
