title,time,up_name,up_uid,up_progress,url
喜欢但不多,2023-04-09 15:36:36,雷沫沫沫,1192300962,看到第1话,https://www.bilibili.com/read/cv22946192
awa,2022-12-23 17:36:15,啾啾啾啾啾啾啾啾啾1103,28229704,看到第1话,https://www.bilibili.com/read/cv20702924
要大会员，比较可惜,2022-05-25 10:05:22,没人要的小画包,1312365876,看到第2话,https://www.bilibili.com/read/cv16779451
一手好牌打的，人设崩盘到底。全面分析一下人设。（凹凸世界第二季观感）,2019-01-27 00:59:17,机长不开车,190142826,看到第8话,https://www.bilibili.com/read/cv1939204
挺养老的,2021-09-04 12:17:36,中原中也是我的神,382477687,看到番外篇,https://www.bilibili.com/read/cv13019183
要治愈不治愈，要致郁不致郁。明明讲的生死游戏，快变成泡面番。,2021-06-13 18:33:41,GatheringNogLues,381951143,看到第20话,https://www.bilibili.com/read/cv11704613
自我感受,2021-06-09 15:37:17,林曦_xx,362919415,看到番外篇,https://www.bilibili.com/read/cv11646829
第二季艾比小姐的人设糟的不行,2021-05-12 21:57:50,白羽不配,436848016,看到第11话,https://www.bilibili.com/read/cv11258245
关于动漫的评价和人设的无奈,2021-04-29 00:24:00,龙儿不耳聋,85668242,看到第7话,https://www.bilibili.com/read/cv11075329
应援弹幕你们太过分了,2020-04-15 19:27:07,窜天的柯基,22907829,看到第15话,https://www.bilibili.com/read/cv5628007
