title,time,up_name,up_uid,up_progress,url
满分强烈推荐 给我冲,2023-08-14 17:02:56,中年油腻男-小明,321446292,看到第3话,https://www.bilibili.com/read/cv25739679
第一序列动漫不要再出现在我的首页上了,2023-09-18 15:53:15,为啥改昵称需要硬币,438284954,看到第1话,https://www.bilibili.com/read/cv26591243
好看好看,2023-09-16 02:34:24,皮都华丽的薯片,45466264,看到第4话,https://www.bilibili.com/read/cv26550790
改编得很不错，说一下缺点吧，不然就给5星了,2023-09-13 14:00:19,愚者Clown,33941466,看到第10话,https://www.bilibili.com/read/cv26497945
很好看,2023-09-14 13:58:09,不能叫及格图书,104352206,看到带着铁锅杀进《第一序列》办公室,https://www.bilibili.com/read/cv26518246
我的评价是：当代3d动漫中的中流砥柱,2023-09-13 20:00:23,春色几分闲_,429967997,看到带着铁锅杀进《第一序列》办公室,https://www.bilibili.com/read/cv26506474
评分开始掉了，除了杠精给一星，大部分掉分原因基本就是时长问题，正片时间越来越短,2023-09-11 09:43:34,烟花羽ii,309922516,看到第9话,https://www.bilibili.com/read/cv26449967
评分第一序列动漫,2023-08-16 22:51:33,殷正二九_,0,看到第6话,https://www.bilibili.com/read/cv25795714
动漫改的比漫画好,2023-08-18 16:12:25,星之守护者猛男爱德华,478823692,看到第6话,https://www.bilibili.com/read/cv25837264
更新快点,2023-08-12 18:21:01,古怪的男孩,39733852,看到第5话,https://www.bilibili.com/read/cv25702181
