title,time,up_name,up_uid,up_progress,url
好,2023-08-31 00:02:43,笑猫12345,1234102551,看到第1话,https://www.bilibili.com/read/cv26114630
为什么这样一部作品会有1星的存在？,2022-01-21 17:08:03,黎Flowers,489964912,看到第5话,https://www.bilibili.com/read/cv14935170
你知道什么是至美,2023-02-14 00:17:00,AIAN电玩,415234123,看到第6话,https://www.bilibili.com/read/cv21810651
看完这6集，让我找到了以前看动画的感觉,2023-01-02 17:12:06,智爷爱莎莉娜,388804967,看到第6话,https://www.bilibili.com/read/cv20921217
个人的一点小感想,2022-10-28 14:58:44,叶飞舞-火不息,439468575,看到第6话,https://www.bilibili.com/read/cv19374277
«中国古诗词动漫»的创作思想分析,2022-10-05 12:54:11,夭柒_Qamra,482063992,看到第1话,https://www.bilibili.com/read/cv18931733
红豆生南国 春来发几枝 愿君多采撷 此物最相思,2022-06-30 07:18:33,AlitaMyLove,339049995,看到第1话,https://www.bilibili.com/read/cv17336180
论中国唱诗班,2022-05-02 09:07:58,古巷烟雨殇,396606367,看到第3话,https://www.bilibili.com/read/cv16412654
"初闻不知曲中意,再听已是曲中人",2022-04-08 21:26:43,装在长衫里的人,34935233,看到第3话,https://www.bilibili.com/read/cv16044328
中国唱诗班值得一个五星好评,2022-03-28 20:10:54,超人变身Superman,205388578,看到第6话,https://www.bilibili.com/read/cv15872384
