title,time,up_name,up_uid,up_progress,url
雄兵连重生了，全新的故事，全新的世界,2023-04-20 15:49:24,生活中的历史,1542438952,看到配音导演开播祝福,https://www.bilibili.com/read/cv23179359
萨拉雷XXX集合地,2023-04-20 12:29:40,村雨promise,191266037,看到第3话,https://www.bilibili.com/read/cv23174603
锐评！山海际会！,2023-09-03 17:16:08,向山木槿hidiscus,458087303,看到动画插曲演唱者陈乐一,https://www.bilibili.com/read/cv26281773
关于《山海际会》动画的一些看法,2023-09-03 09:44:54,青蛙快乐,1945670365,看到配音导演开播祝福,https://www.bilibili.com/read/cv26275395
萨导你被夺舍了嘛？,2023-08-23 17:25:16,斑の轮回,21814024,看到第4话,https://www.bilibili.com/read/cv25947237
题材还行 细节为零,2023-08-03 14:14:08,青之守护灬岚,479735899,看到第9话,https://www.bilibili.com/read/cv25488208
前几话答辩后面没看,2023-08-03 22:56:12,鱼鱼kkkkk,493966958,看到第4话,https://www.bilibili.com/read/cv25501110
建议看不明白的人不要建议,2023-07-28 23:49:30,shi苏霖吖,1011418004,看到第1话,https://www.bilibili.com/read/cv25364388
故事娓娓道来,2023-07-20 11:47:00,Waitingandhoping,328631973,看到第17话,https://www.bilibili.com/read/cv25151673
有看点，但不多，难看的点反而多,2023-07-04 18:57:48,暴炸果实,878573,看到第2话,https://www.bilibili.com/read/cv24780861
