title,time,up_name,up_uid,up_progress,url
元龙，一个爽文动漫化的奇葩,2020-07-11 14:48:24,霍格尼特·汀·乔德夫,18362031,看到第4话,https://www.bilibili.com/read/cv6728697
好看,2023-04-30 11:13:23,炭中-送雪,457789103,看到第4话,https://www.bilibili.com/read/cv23394692
元龙的长评,2023-08-14 23:35:30,跨影逐月,353567161,看到第9话,https://www.bilibili.com/read/cv25747112
值得一看的爽文,2023-06-29 17:13:16,虚混无沌,283257847,看到第10话,https://www.bilibili.com/read/cv24670712
好评,2020-08-12 00:44:45,不知其命,12229139,看到第15话,https://www.bilibili.com/read/cv7135146
lj,2023-02-11 21:43:32,拥抱小野寺,1856751727,看到第16话,https://www.bilibili.com/read/cv21769792
Hjj,2023-01-17 15:21:42,bilitest2323ccc,14135892,看到第1话,https://www.bilibili.com/read/cv21264429
真是臭不要脸,2022-12-29 11:20:37,ジ伊卡洛斯ミ,179076168,看到第1话,https://www.bilibili.com/read/cv20823886
美中不足,2022-12-21 19:59:45,阿特猫斯,399974530,看到第12话,https://www.bilibili.com/read/cv20660401
徐母豕可真会给自己贴金啊，第一季跟你有个毛的关系,2022-12-06 21:46:38,缺德的亚里士多,22785385,看到ED,https://www.bilibili.com/read/cv20300000
