title,time,up_name,up_uid,up_progress,url
浅浅的吐槽一下,2023-09-17 23:49:30,板某是个小萌新,193093443,看到第10话,https://www.bilibili.com/read/cv26579611
听说有第三季的我还是很高兴，希望制作组能根据第二季的缺点优化一下以下方面。,2023-09-09 22:31:55,南国儿乔,82348196,看到第11集预告,https://www.bilibili.com/read/cv26422718
非常好动漫，漫画也同样精彩,2023-09-06 14:19:27,Catzilla_,10741319,看到第9话,https://www.bilibili.com/read/cv26341831
如何评《小绿和小蓝第二季》？空有其表的花架子,2023-08-30 12:56:21,呆头呆脑的口鸟,349183265,看到第9话,https://www.bilibili.com/read/cv26099783
比较平台不平等的话，容易有失偏驳,2023-08-11 20:00:53,碳基根号3,381870687,看到第6话,https://www.bilibili.com/read/cv25685380
算近几集观后感吧,2023-08-09 17:48:51,ADGay奶_,399922245,看到第6话,https://www.bilibili.com/read/cv25631982
一股异世界厕纸味道铺面而来——《小绿和小蓝魔王篇》,2023-08-03 16:59:48,淡淡黑白恋,77991181,看到第5话,https://www.bilibili.com/read/cv25493882
制作组白给,2023-07-27 23:56:47,_山山山山山山羊,94893480,看到定档7月12日,https://www.bilibili.com/read/cv25338981
