title,time,up_name,up_uid,up_progress,url
最让人失望的莫过于不用心,2019-03-31 17:59:56,巽子青,4438168,看到第3话,https://www.bilibili.com/read/cv2360334
其实第二季真的挺好的了,2023-01-18 19:03:25,胭脂扣11,45098666,看到第1话,https://www.bilibili.com/read/cv21292175
国语配音演员实力有待提高，多少有点和我的期待不符,2022-11-15 19:38:13,藤宮の真昼,372815225,看到第11话,https://www.bilibili.com/read/cv19797625
作为动画先入为主的观众，我觉得还可以。,2022-08-29 00:14:24,不做up主的b站闲人,589478382,看到番外篇,https://www.bilibili.com/read/cv18337233
五星但是因为原作,2022-08-21 21:43:54,szk慕冷_,397836498,看到第24话,https://www.bilibili.com/read/cv18217285
一个让角色鲜活的番,2022-05-05 23:04:37,棋落w,14923997,看到番外PV,https://www.bilibili.com/read/cv16467965
b站弹幕越来越恶臭了,2022-02-01 23:29:21,看到我的人会欧气满满,514639629,看到番外篇,https://www.bilibili.com/read/cv15088924
乱吐槽奥,2021-05-29 23:44:49,舔干净就好啦,361481094,看到番外PV,https://www.bilibili.com/read/cv11494285
《一人之下》老天师为何下山剿灭全性？,2021-01-23 22:28:30,逐年追影,12739676,看到番外篇,https://www.bilibili.com/read/cv9423937
搞笑的第二季,2020-11-21 23:51:25,DC暴雪咋了,435759795,看到番外篇,https://www.bilibili.com/read/cv8470822
