title,time,up_name,up_uid,up_progress,url
重温旧梦,2023-08-15 21:47:48,小陈家的龙战士,511727365,看到第13话,https://www.bilibili.com/read/cv25769455
我对茶啊二中的感受,2023-02-24 17:44:31,陌生的无名氏,90990175,看到第13话,https://www.bilibili.com/read/cv22027654
安利！小众又宝藏的国漫！,2022-12-28 00:22:11,我不是夏目玲子,440492511,看到第1话,https://www.bilibili.com/read/cv20794794
！！！！,2022-12-29 01:35:35,吃橘子的翔太,1681581987,看到第5话,https://www.bilibili.com/read/cv20818503
回不去的不只是青春还有我们,2019-02-05 22:08:26,红烧丸子呦呦呦,7334122,看到第13话,https://www.bilibili.com/read/cv2006393
青春，就是欢乐，伤感，释怀，回味。,2021-08-26 21:30:57,ZC传承,454354506,看到PV,https://www.bilibili.com/read/cv12884620
真香！,2020-02-09 23:04:21,ATBC97,22355124,看到第2话,https://www.bilibili.com/read/cv4627633
谢谢茶阿二中！原来！我也青春过啊！,2020-02-07 01:30:00,下雨天不打伞的V哥,52723734,看到第13话,https://www.bilibili.com/read/cv4596466
回不去的校园时光，回不去的青春,2020-01-05 23:46:45,佛系弗林,354490655,看到PV,https://www.bilibili.com/read/cv4296556
致我们美好的校园时光,2019-08-11 22:54:38,剑熙w,49555840,看到第13话,https://www.bilibili.com/read/cv3305267
