title,time,up_name,up_uid,up_progress,url
区区不才，在下野怪,2023-09-03 05:23:48,离殇丶破晓,223953680,看到第21话,https://www.bilibili.com/read/cv26273342
原作主角太漏骨了，才改的,2023-07-12 23:07:31,绿衣酱酱,11729143,看到第3话,https://www.bilibili.com/read/cv24972770
被绿毛主持耽误的良好厕纸,2023-06-25 18:51:23,虚空曌,687792881,看到第12话,https://www.bilibili.com/read/cv24576827
lighhhh,2023-06-25 13:55:42,bilitest2323ccc,14135892,看到第7话,https://www.bilibili.com/read/cv24569187
确实是国产动漫而不是嘻哈节目吗,2023-05-24 10:07:49,落在记忆中的快乐,149979944,看到第7话,https://www.bilibili.com/read/cv23881268
第一集前半集平庸，后面渐入佳境,2023-05-04 09:46:41,何必觅幽愁,336224511,看到第5集预告,https://www.bilibili.com/read/cv23455668
挺好,2023-05-03 15:57:14,夕昀想跳楼,390209659,看到第5集预告,https://www.bilibili.com/read/cv23444782
在这个异世界厕纸漫天飞的年代,2023-04-30 19:51:16,巧克力奶冰,30112154,看到第1话,https://www.bilibili.com/read/cv23401466
2023喜欢的第一部番,2023-04-27 11:58:40,天天缘缘,23663950,看到第1话,https://www.bilibili.com/read/cv23338465
是的，它是龙傲天穿越奇幻爽文番，设定俗套，但是！,2023-04-25 14:41:08,达摩石神998,282692581,看到第1话,https://www.bilibili.com/read/cv23295982
