title,time,up_name,up_uid,up_progress,url
可圈可点，再接再厉啊,2023-01-27 02:07:52,克里斯的几,282179873,看到第12话,https://www.bilibili.com/read/cv21427843
期待你们能做的更好,2023-01-20 16:23:01,天羽羽斩计数器,291325227,看到第5集预告,https://www.bilibili.com/read/cv21329194
给我们一起一路走来的这些年,2023-02-17 11:13:55,凌宇沫,387099,看到第8话,https://www.bilibili.com/read/cv21878573
对一些删改掉的剧情的想法,2023-07-29 23:49:32,锅巴猫爪,1117681528,看到第4话,https://www.bilibili.com/read/cv25383082
双男主驾驭不了，就老实重心放在第一个男主身上,2023-07-15 22:07:52,点卯,177964020,看到第10话,https://www.bilibili.com/read/cv25042865
这一季乱七八糟的。,2023-04-24 05:42:03,同调的终点是什么,471779359,看到第8话,https://www.bilibili.com/read/cv23262119
当动画组成为cp怨妇会有多ooc,2023-04-04 02:46:59,隐秀山泷,3567033,看到第13话,https://www.bilibili.com/read/cv22834625
期待第三季快点出！！,2023-04-03 12:21:28,白雪染红梅-梦醒,411037921,看到第13话,https://www.bilibili.com/read/cv22818814
改编的太差,2023-04-01 23:11:34,糖豆小可,1817743068,看到第9话,https://www.bilibili.com/read/cv22792857
真是长寿呢？祝兄坑越来越好,2023-03-24 18:42:09,阿盖有话说,7349183,看到第13话,https://www.bilibili.com/read/cv22620671
