title,time,up_name,up_uid,up_progress,url
国漫牛批！！,2022-10-29 02:04:21,熊耳少女,20400425,看到特别篇,https://www.bilibili.com/read/cv19387337
向那些努力付出的工匠精神之人致敬,2022-10-25 12:53:35,文学社部长Monika,90411789,看到特别篇,https://www.bilibili.com/read/cv19303820
完美的末世动漫,2022-08-28 15:19:06,天之云逍遥,400335588,看到第001话,https://www.bilibili.com/read/cv18330702
一部用心的动漫，应该得到五星,2021-02-07 19:19:09,才才萧,2308718,看到第010话,https://www.bilibili.com/read/cv9701244
理想与现实,2021-01-24 23:18:48,热爱春天,289352737,看到中章,https://www.bilibili.com/read/cv9439369
请不要用电影的标准看待灵笼，它只是一个动画片而已啊！,2019-07-27 12:18:29,爱吃肉的阿癸,10002709,看到第002话,https://www.bilibili.com/read/cv3173040
一星给画面，一给星特效。还有一个是半星。,2020-09-06 22:49:36,幻小只,614602,看到特别篇,https://www.bilibili.com/read/cv7908645
打戏优秀，剧情诡异; 设定牵强，人设崩塌；自作聪明，刻意煽情；颇有潜力，十分可惜,2021-06-07 15:08:03,啊想不出来昵称,184528924,看到第001话,https://www.bilibili.com/read/cv11613999
无题,2021-05-06 00:07:03,渡人Wagner,398595469,看到特别篇,https://www.bilibili.com/read/cv11162765
灵笼观后感,2023-09-02 04:53:41,想要中奖錒,679520151,看到特别篇,https://www.bilibili.com/read/cv26256310
