title,time,up_name,up_uid,up_progress,url
少年白衣，醉歌君语,2022-04-28 12:25:57,社交无能程序员,34217781,看到第3话,https://www.bilibili.com/read/cv16355335
老年歌行？周木楠三部曲的开端,2022-04-28 10:16:44,丿阿卡林,8278539,看到第3话,https://www.bilibili.com/read/cv16352782
，，，这剧情一般咋会有9分,2023-09-11 00:32:06,朝田師乃,605860189,看到第16话,https://www.bilibili.com/read/cv26442690
/,2023-09-02 20:29:55,二刺螈流浪汉,404905013,看到第3话,https://www.bilibili.com/read/cv26268987
大师姐是女神,2023-08-15 13:06:47,大兴西北君,299305757,看到第24话,https://www.bilibili.com/read/cv25757328
新来的不要看最后一集,2023-06-18 20:26:44,馨竹,2937829,看到第24话,https://www.bilibili.com/read/cv24437652
君有云，是不是“他们逻辑有问题”,2023-01-31 18:11:24,阿尔默斯,45894751,看到第24话,https://www.bilibili.com/read/cv21524710
垃圾番剧 举报,2022-12-06 18:35:04,看海是倒过来的天,96953737,看到第1话,https://www.bilibili.com/read/cv20295841
第二季啥时候出？来,2022-10-01 12:31:36,忄殇か洋哥,52074679,看到第24话,https://www.bilibili.com/read/cv18875483
老祖歌行—君有云影评,2022-10-05 13:32:31,暮雨凌尘萧无心,511252275,看到第24话,https://www.bilibili.com/read/cv18932204
