title,time,up_name,up_uid,up_progress,url
《王者？别闹！》英雄出场统计&详情,2023-03-18 20:53:26,小神龙GA,90182328,看到第55话,https://www.bilibili.com/read/cv22490072
快乐源泉的王者别闹,2020-09-18 17:56:05,小-媳妇儿,285984914,看到第24话,https://www.bilibili.com/read/cv7651285
游戏很烂，但番要看,2023-08-17 13:35:46,宅家五天使,1546856577,看到第44话,https://www.bilibili.com/read/cv25807226
对于王者别闹的一点小看法,2023-01-28 14:52:28,中光不是光中啊,393891865,看到第49话,https://www.bilibili.com/read/cv21451882
好，祝以后越来越好,2023-01-29 08:43:28,烦辞有点烦,1668749140,看到第49话,https://www.bilibili.com/read/cv21465563
。,2022-12-23 15:21:21,夺笋呐啊,426646619,看到第47话,https://www.bilibili.com/read/cv20699256
《王者?别闹!》第二季来了,2019-05-02 15:21:31,强袭吉姆,33607235,看到第3话,https://www.bilibili.com/read/cv2578924
质量下降有点明显,2022-07-14 23:08:52,-卡卡洛特-,449352714,看到第44话,https://www.bilibili.com/read/cv17574827
了，第三集的李白小哥哥好帅啊，而且当时看的属于早期版（后面,2022-05-28 09:45:13,峡谷路人26号老尤条,517202259,看到第8话,https://www.bilibili.com/read/cv16828970
懂的都懂【已失效】（留作自省，切勿认同）,2021-02-03 18:53:13,名字就不用念了,176546320,看到第33话,https://www.bilibili.com/read/cv9620650
