title,time,up_name,up_uid,up_progress,url
来自登格鲁星的金,2019-02-10 02:11:47,墨泉xyz,21132263,看到第2话,https://www.bilibili.com/read/cv2034323
21话剧本分析（仅献给安哥以及喜欢他的人）,2019-12-02 23:43:53,黑色-生命,22692262,看到第21话,https://www.bilibili.com/read/cv4084062
比想象中更令人失望（最后一版）,2019-12-29 18:12:07,池暝Chaos,97229173,看到第38话,https://www.bilibili.com/read/cv4249752
满星好评！！！,2023-09-03 14:21:25,帅气の迪克人酱,520983123,看到OP先行版,https://www.bilibili.com/read/cv26279227
别因为第四季拉低这季的评分,2023-07-16 13:39:28,bili_24459445880,660450674,看到第24话,https://www.bilibili.com/read/cv25051836
。,2020-01-22 04:15:07,四巷鸟,219545354,看到番外篇4,https://www.bilibili.com/read/cv4429736
节哀,2023-01-22 23:08:36,紫罗兰V夜幽昙,479036802,看到番外5,https://www.bilibili.com/read/cv21366807
整一点总结,2023-04-04 11:55:43,即将要退的凝霜,1279592620,看到第2话,https://www.bilibili.com/read/cv22841331
剧情碎尼玛 金没戏份尼玛 只提圈风尼玛 观众行为番剧买尼玛单 谁特么说凹凸完美了？,2021-07-13 16:37:40,-提尔舟Tresor-,635866092,看到第21话,https://www.bilibili.com/read/cv12136031
半个老粉关于粉凹凸的bb,2019-06-13 21:22:53,你要不看看你在画什么,162961230,看到第38话,https://www.bilibili.com/read/cv2864491
