title,time,up_name,up_uid,up_progress,url
超级真实,2023-09-06 17:00:14,一点五橙二,492945507,看到地魁推广曲 《我爱小鱼干》,https://www.bilibili.com/read/cv26346503
非常非常完美,2023-06-03 21:59:22,心软差一点,107619897,看到首届人气男配决选,https://www.bilibili.com/read/cv24114994
王小宝凭什么成为常驻嘉宾,2022-02-15 18:31:00,bili_381750434,381750434,看到第10话,https://www.bilibili.com/read/cv15276469
第五颗星给到“当前遇到的最佳国漫”,2022-01-17 13:29:33,怎么什么昵称都存在啊啊啊啊啊啊啊,269131276,看到第12话,https://www.bilibili.com/read/cv14872237
汉化日记为何没有得到应有的地位？,2021-11-29 19:30:01,花火星璇,434018880,看到第1话,https://www.bilibili.com/read/cv14214020
【浅谈】在无聊的生活中找点乐趣,2021-10-03 21:25:30,翎汐yuki,35383833,看到第12话,https://www.bilibili.com/read/cv13437515
第三集王小宝相关的情节在我看来不是败笔也是失误,2020-11-30 05:29:31,里神坕,10776399,看到第4话,https://www.bilibili.com/read/cv8591114
汉化日记读后感,2021-09-03 19:09:04,邱城ya,85760449,无观看记录,https://www.bilibili.com/read/cv13010413
个人观感和碎碎念,2021-07-14 05:51:46,言卿没睡醒,293557721,看到第12话,https://www.bilibili.com/read/cv12141811
用心开出的花朵，有人情味的国创作品——《汉化日记》,2020-11-22 12:08:21,May夕雨,67460279,看到第2话,https://www.bilibili.com/read/cv8475006
