title,time,up_name,up_uid,up_progress,url
【动画说书人】只因是JOJO,2022-09-04 13:27:01,泠文启,8014480,看到第17话,https://www.bilibili.com/read/cv18439161
徐伦，我最爱的动漫女主角,2022-01-03 16:40:28,雪儿吃桃桃,356250496,看到第7话,https://www.bilibili.com/read/cv14687706
【JOJO的奇妙冒险石之海】长评，虽非全能，但却全知,2021-12-01 23:33:09,雪染奈天,20284684,看到第18话,https://www.bilibili.com/read/cv14245061
宿命的终结与起点,2021-12-01 22:49:20,路过一只深海鱼,7918280,看到第6话,https://www.bilibili.com/read/cv14244494
part2：勇气和“崇高”是JOJO永恒的旋律,2021-12-01 18:32:29,坠雨落星辰,213921703,看到第22话,https://www.bilibili.com/read/cv14241692
JOJO：追寻自由之路（附石之海篇出现人物的面板数据图）,2023-09-04 17:24:02,锦衣先生,83520075,看到第38话,https://www.bilibili.com/read/cv26302708
我们为什么喜欢JOJO,2023-08-23 19:10:47,xxxOAAxxx,1574077675,看到第17话,https://www.bilibili.com/read/cv25949791
不是真有人喜欢看这种东西吧？一直很想吐槽了,2023-07-30 21:09:42,母佳鑫,1307406254,看到第1话,https://www.bilibili.com/read/cv25396679
个人,2023-08-13 22:40:41,游戏shyit解说,1019298931,看到第38话,https://www.bilibili.com/read/cv25721647
平平淡淡,2023-08-09 22:58:07,我还没有想好名,513073780,看到第25话,https://www.bilibili.com/read/cv25637369
