title,time,up_name,up_uid,up_progress,url
这部堪比迪迦，缺点短，,2023-09-16 19:34:21,墨白习,221045497,看到第11话,https://www.bilibili.com/read/cv26561696
真正的子供向,2023-08-19 20:49:23,喜欢特摄的木龙加斯,341402157,看到第7话,https://www.bilibili.com/read/cv25861380
《布莱泽奥特曼》无聊白开水剧情，还不如特利迦和德凯好看！,2023-08-14 23:08:04,亚波人的信徒,400313868,看到第5话,https://www.bilibili.com/read/cv25746676
