title,time,up_name,up_uid,up_progress,url
节奏较慢，总体良好，观感不错,2023-06-18 01:18:32,逍遥萌萌龙,321646641,看到第3话,https://www.bilibili.com/read/cv24425452
国内这些限制正版软件都快成评分软件了,2023-06-17 23:50:41,死鱼眼满脸无敌,1412636667,看到1下,https://www.bilibili.com/read/cv24424555
鬼灭我依然吹爆，但我要点评一下不足。,2023-06-17 23:17:37,可爱的小心姐姐,1242608219,看到第3话,https://www.bilibili.com/read/cv24424141
转自豆瓣，我自己的原话,2023-06-20 00:42:19,大白白白白泽,184325742,看到第3话,https://www.bilibili.com/read/cv24464956
鬼灭之刃不应该是这个评分,2023-09-13 23:48:09,寒眸暖光,319435444,看到11上,https://www.bilibili.com/read/cv26509587
番剧评鉴——《鬼灭之刃 刀匠村篇》，取长补短不如不取，扬长避短不可不扬,2023-09-09 21:01:18,逸之社恐猪,434218778,看到第9话,https://www.bilibili.com/read/cv26421280
吐槽鬼灭之刃：第一次看鬼灭之刃，真的忍不住想吐槽你们吹烂的这个动漫,2023-06-20 09:13:27,忧狼,371950090,看到第3话,https://www.bilibili.com/read/cv24467453
爱是人的盔甲,2023-09-02 17:52:26,朝朝和宁宁,288650215,看到第6话,https://www.bilibili.com/read/cv26266887
希望他们能多喝核污染水,2023-08-28 10:48:06,洋气且富有诗意,509278848,看到第10话,https://www.bilibili.com/read/cv26047240
这个选择只有祢豆子能做,2023-08-31 16:54:01,-文七-,12961333,看到11上,https://www.bilibili.com/read/cv26225046
