title,time,up_name,up_uid,up_progress,url
正片之外的沙海拾贝——或许能改善一点观看体验,2023-09-08 11:29:47,一川星火,8205135,看到第1话,https://www.bilibili.com/read/cv26388323
如“苍”一般清澈绚烂的青春，在那个秋日落幕了。,2023-09-08 09:17:22,薄雪伴流花,12194156,看到第3话,https://www.bilibili.com/read/cv26384044
巅峰的剧情遇上最好的制作,2023-09-08 02:41:18,独眼猫推,2160213,看到第3话,https://www.bilibili.com/read/cv26380957
关于部分人因咒术剧场版宣传方的不正当言论而在B站上对咒术第一季和第二季 打一星这事,2023-09-11 13:40:19,汐见十和,35642771,看到第1话,https://www.bilibili.com/read/cv26455880
关于前几集毫无尿点，却拿了9.3分这回事,2023-09-09 02:39:14,Rosmontisi,153895194,看到第3话,https://www.bilibili.com/read/cv26403747
恶意评分没必要吧,2023-09-08 17:08:36,3080-月亮遥望星辰,1478385077,看到第3话,https://www.bilibili.com/read/cv26396043
去搜一下咒回辱华相关的详情吧,2023-09-16 21:56:41,阿克曼-易昭,349774357,看到第2话,https://www.bilibili.com/read/cv26563758
禁止越线,2023-09-15 16:44:57,要来点玉藻猫吗,39526163,无观看记录,https://www.bilibili.com/read/cv26542589
番很好，宣发踩红线了,2023-09-15 00:18:15,好きです_小糍粑,646877033,看到第4话,https://www.bilibili.com/read/cv26529876
第一季锁9.7，第二季准备锁几分？,2023-09-14 20:42:09,青山听雨客,399630182,看到第1话,https://www.bilibili.com/read/cv26526844
