title,time,up_name,up_uid,up_progress,url
我心目中永远的满分,2022-09-09 14:40:39,Everkiraring,1454681,看到第8话,https://www.bilibili.com/read/cv18517988
【动画说书人】九年物是人非——《打工吧！魔王大人》第二季漫评,2022-09-08 07:46:21,泠文启,8014480,看到第9话,https://www.bilibili.com/read/cv18495464
魔王与勇者的结局,2023-08-17 12:31:49,神道幻临,470744317,看到第12话,https://www.bilibili.com/read/cv25806239
《打魔》系列评价（单就第二季打六分）,2023-08-19 09:25:33,一张A3,346755358,看到第3话,https://www.bilibili.com/read/cv25849287
勉强,2022-12-24 16:27:26,第三人称rain,1934616541,看到第1话,https://www.bilibili.com/read/cv20721463
说得过去,2023-02-17 00:54:45,丨番,175344599,看到第12话,https://www.bilibili.com/read/cv21873064
意料之外，情理之中,2023-02-10 14:37:41,哲369850,47240052,看到第12话,https://www.bilibili.com/read/cv21742304
画面崩坏扣二星，毕竟等了近10年...,2023-01-05 08:21:28,いち原陏子,1649379182,看到第2话,https://www.bilibili.com/read/cv20981491
6,2023-01-06 07:50:18,我-馋-三-玖-身-子,2064808145,看到第10话,https://www.bilibili.com/read/cv21006569
差强人意的第二季，没能走出的影子,2022-12-26 01:54:48,初心未明,286557154,看到第10话,https://www.bilibili.com/read/cv20750685
