title,time,up_name,up_uid,up_progress,url
【含微剧透】jojo不可避免的战力崩坏,2018-12-05 02:01:08,叶洛灵,2202798,看到第8话,https://www.bilibili.com/read/cv1657574
在我个人的心中JOJO值得9.9！,2018-11-19 19:40:42,时间契约者,23359003,看到第19话,https://www.bilibili.com/read/cv1602839
JOJO画风为何是我心中一道红线？,2019-03-31 23:54:00,宅也宅也,30659345,看到第5话,https://www.bilibili.com/read/cv2363182
【剧透预警】妈妈看JOJO第五部观后感,2022-01-23 09:52:37,梦丹若尘,94460254,看到第39话,https://www.bilibili.com/read/cv14955442
个人最喜欢的一部JOJO,2023-08-20 09:57:50,不摆就够烂啦,522704883,看到第14话,https://www.bilibili.com/read/cv25867577
意大利单人旅游攻略,2023-08-10 15:08:06,炒鸡NBの老周,0,看到第26话,https://www.bilibili.com/read/cv25652203
根本停不下来,2023-08-10 19:52:42,无聊到不起名字,514534184,看到第5话,https://www.bilibili.com/read/cv25659810
。,2023-08-07 10:41:35,アリババ上場,1914292267,看到第17话,https://www.bilibili.com/read/cv25567742
对JOJO的一些个人见解,2020-03-23 23:51:06,Mysurse,24833334,看到第37话,https://www.bilibili.com/read/cv5253789
好看,2023-06-25 20:37:23,basketball丶Curry,107650809,看到第1话,https://www.bilibili.com/read/cv24578336
