title,time,up_name,up_uid,up_progress,url
超长干货！主线剧集（预警：可能涉及剧透剧透剧透！重说三！and角色粉/CP粉主场集汇总,2020-05-01 04:05:52,下次做你的小熊软糖,34251732,看到第156话,https://www.bilibili.com/read/cv5854436
蒋笃慧，别忘记她。,2020-04-30 21:58:48,lbwnnnnnnnnnb,76745767,看到第45话,https://www.bilibili.com/read/cv5850583
越来越差,2023-08-29 09:32:58,申元庆,26097502,看到第1148话,https://www.bilibili.com/read/cv26069270
。。。,2023-08-16 11:30:31,加油鸭哈哈哈22,276923841,看到第1话,https://www.bilibili.com/read/cv25780043
柯南和少年侦探团去大版参加文化交流会，遇到了奇数变偶数的炸弹，是哪一集,2023-08-12 23:30:25,科夫拉,114036014,看到第1045话,https://www.bilibili.com/read/cv25706614
名侦探柯南动画原创剧集全统计,2023-01-15 12:13:31,路过的业余人,506143904,看到第814话,https://www.bilibili.com/read/cv21218219
经典,2023-08-09 18:03:16,青青草园008,276923670,看到第1148话,https://www.bilibili.com/read/cv25632384
老小孩柯南,2023-07-25 19:51:40,倒立_史蒂夫-小号,0,看到第841话,https://www.bilibili.com/read/cv25280431
新兰TV高画质截图/新兰集数总结。多图预警。,2023-02-25 06:59:03,千堆邮差,3146908,看到第35话,https://www.bilibili.com/read/cv22036063
不写标题，诶嘿,2023-06-08 10:51:59,星尘刘备,499050958,看到第576话,https://www.bilibili.com/read/cv24209524
