title,time,up_name,up_uid,up_progress,url
金玉其外，败絮其中,2023-08-31 23:59:46,キラキラ摸鱼中,68376460,看到第1话,https://www.bilibili.com/read/cv26232666
高开低走，平稳落地的良作,2023-09-17 19:35:45,南山令吾,44914664,无观看记录,https://www.bilibili.com/read/cv26576227
围绕桐生战兔的人设,2023-09-09 15:06:39,爱看动漫006,1767828153,看到第38话,https://www.bilibili.com/read/cv26415080
全方面介绍build剧情,2023-09-08 14:38:58,砂糖与盐混合才甜,472585130,看到第48话,https://www.bilibili.com/read/cv26391831
前期和后期完全是两部剧,2023-09-03 17:32:10,勇敢的村支书,2509230,看到第49话,https://www.bilibili.com/read/cv26282002
一部有许多问题但是让人恨不起来的骑士,2023-07-26 20:14:57,新野流作,35662957,无观看记录,https://www.bilibili.com/read/cv25308023
入坑的骑士，但结局确实不是很理想,2023-07-27 20:14:22,喜欢捏怪兽の新条茜,1873868766,看到第1话,https://www.bilibili.com/read/cv25335157
还行,2023-09-03 02:20:01,普普通通的121b,0,看到第3话,https://www.bilibili.com/read/cv26273016
E总是赢麻了。,2023-08-28 22:40:36,可爱的桐子酱,12078014,看到第49话,https://www.bilibili.com/read/cv26064219
遗憾的结尾,2023-08-24 00:44:49,比急急国王还急,0,看到第49话,https://www.bilibili.com/read/cv25955086
