title,time,up_name,up_uid,up_progress,url
人类的荣光并不能永存，夜之城也没有活着的传奇,2023-08-23 21:07:29,忠爱总裁,1338726820,看到第3话,https://www.bilibili.com/read/cv25951795
《尼尔机械纪元》充满破败绝望与荒诞的末世史诗,2023-09-10 23:17:25,goldchang,130787143,看到第5话,https://www.bilibili.com/read/cv26441869
【万字长评】希望与绝望的灭世轮回-尼尔：人工生命与机械纪元,2023-08-22 22:16:26,Invincible丶七海,11065983,看到第3话,https://www.bilibili.com/read/cv25927326
【第一季长评】游戏改动画的优秀之作-《尼尔：机械纪元Ver1.1a》,2023-08-24 04:12:30,玖瑶君,570490,看到第3话,https://www.bilibili.com/read/cv25955866
我3D区老观众了,2023-08-22 20:45:30,東山-小红,650524604,无观看记录,https://www.bilibili.com/read/cv25925763
尼尔：机械纪元,2023-08-22 22:02:31,烛火丶,19531514,无观看记录,https://www.bilibili.com/read/cv25927134
