title,time,up_name,up_uid,up_progress,url
他妈的！真的失望,2023-08-31 22:02:11,镇林鸟,327629185,看到第21话,https://www.bilibili.com/read/cv26230913
垃圾！屎中屎,2023-08-30 23:30:57,壶里の抹茶,403088155,看到第16话,https://www.bilibili.com/read/cv26114157
前面能给高分，到21集了还不拉？,2023-08-29 03:28:30,く天ォ,526125357,看到第21话,https://www.bilibili.com/read/cv26066572
不太行,2023-08-12 01:01:36,混的我们在,24186353,看到第1话,https://www.bilibili.com/read/cv25689691
不错，值得推荐哟,2023-07-27 21:52:12,青青草园008,276923670,看到第16话,https://www.bilibili.com/read/cv25336904
还行，但是总给我一种在看咒术回战的感觉。,2023-05-22 00:36:10,香君解说,1883460006,看到第7话,https://www.bilibili.com/read/cv23829512
【内含剧透】比你想得更王道,2023-04-10 23:15:56,TAoxx,4732026,看到第1话,https://www.bilibili.com/read/cv22975707
关于男主的思考方式,2023-04-13 20:54:48,米饭加烤肉,99529553,看到第1话,https://www.bilibili.com/read/cv23039434
希望动画低开高走，期待第二季！,2023-02-04 17:51:38,枫茗夏殇,7366207,看到第12话,https://www.bilibili.com/read/cv21621278
精彩,2023-03-20 00:50:43,佳葱葱,35746230,看到第8话,https://www.bilibili.com/read/cv22513092
